INFO | project.documents.doc_extractor | begin processing 19 new annual report(s) | 2018-04-02 00:10:07,290
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1992.docx | 2018-04-02 00:10:07,293
INFO | project.documents.doc_extractor | begin processing 19 new annual report(s) | 2018-04-02 00:14:16,445
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1992.docx | 2018-04-02 00:14:16,446
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1992.docx | 2018-04-02 00:14:34,574
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1994.docx | 2018-04-02 00:14:34,575
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1994.docx | 2018-04-02 00:14:37,155
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1995.docx | 2018-04-02 00:14:37,156
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1995.docx | 2018-04-02 00:14:39,928
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1996.docx | 2018-04-02 00:14:39,928
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1996.docx | 2018-04-02 00:14:44,664
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1997.docx | 2018-04-02 00:14:44,664
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1997.docx | 2018-04-02 00:14:45,731
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1998.docx | 2018-04-02 00:14:45,731
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1998.docx | 2018-04-02 00:14:46,953
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2001.docx | 2018-04-02 00:14:46,954
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2001.docx | 2018-04-02 00:14:51,115
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2002.docx | 2018-04-02 00:14:51,116
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2002.docx | 2018-04-02 00:14:56,949
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2003.docx | 2018-04-02 00:14:56,949
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2003.docx | 2018-04-02 00:15:06,068
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2005.docx | 2018-04-02 00:15:06,069
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2005.docx | 2018-04-02 00:15:28,263
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2006.docx | 2018-04-02 00:15:28,263
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2006.docx | 2018-04-02 00:15:51,642
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2007.docx | 2018-04-02 00:15:51,643
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2007.docx | 2018-04-02 00:16:34,513
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2010.docx | 2018-04-02 00:16:34,514
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2010.docx | 2018-04-02 00:16:39,906
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2011.docx | 2018-04-02 00:16:39,907
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2011.docx | 2018-04-02 00:16:46,269
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2012.docx | 2018-04-02 00:16:46,269
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2012.docx | 2018-04-02 00:16:51,950
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2013.docx | 2018-04-02 00:16:51,951
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2013.docx | 2018-04-02 00:16:56,936
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2014.docx | 2018-04-02 00:16:56,936
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2014.docx | 2018-04-02 00:17:00,803
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2015.docx | 2018-04-02 00:17:00,803
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2015.docx | 2018-04-02 00:17:03,902
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2016.docx | 2018-04-02 00:17:03,902
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2016.docx | 2018-04-02 00:17:06,603
INFO | project.documents.doc_extractor | begin processing 18 new annual report(s) | 2018-04-07 13:54:40,311
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1994.docx | 2018-04-07 13:54:40,311
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1994.docx | 2018-04-07 13:54:41,319
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1995.docx | 2018-04-07 13:54:41,319
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1995.docx | 2018-04-07 13:54:41,991
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1996.docx | 2018-04-07 13:54:41,991
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1996.docx | 2018-04-07 13:54:44,163
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1997.docx | 2018-04-07 13:54:44,163
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1997.docx | 2018-04-07 13:54:44,772
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1998.docx | 2018-04-07 13:54:44,772
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1998.docx | 2018-04-07 13:54:46,344
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2001.docx | 2018-04-07 13:54:46,344
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2001.docx | 2018-04-07 13:54:50,634
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2002.docx | 2018-04-07 13:54:50,634
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2002.docx | 2018-04-07 13:54:59,529
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2003.docx | 2018-04-07 13:54:59,529
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2003.docx | 2018-04-07 13:55:05,087
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2005.docx | 2018-04-07 13:55:05,087
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2005.docx | 2018-04-07 13:55:12,678
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2006.docx | 2018-04-07 13:55:12,678
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2006.docx | 2018-04-07 13:55:41,613
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2007.docx | 2018-04-07 13:55:41,613
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2007.docx | 2018-04-07 13:56:07,215
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2010.docx | 2018-04-07 13:56:07,215
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2010.docx | 2018-04-07 13:56:09,669
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2011.docx | 2018-04-07 13:56:09,669
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2011.docx | 2018-04-07 13:56:12,779
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2012.docx | 2018-04-07 13:56:12,779
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2012.docx | 2018-04-07 13:56:16,631
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2013.docx | 2018-04-07 13:56:16,631
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2013.docx | 2018-04-07 13:56:20,243
